location,walk,age,total_floors,floor,layout,area,rent
Mitaka,10,30.0,1.0,2.0,2LDK,55.62,140000.0
Mitaka,9,32.0,7.0,3.0,2DK,47.34,122000.0
Mitaka,9,32.0,7.0,6.0,2DK,46.79,130000.0
Mitaka,10,3.0,3.0,2.0,1LDK,49.83,155500.0
Mitaka,10,3.0,3.0,1.0,2LDK,57.77,178500.0
Mitaka,12,22.0,4.0,3.0,1K,30.8,88000.0
Mitaka,12,22.0,4.0,2.0,1K,30.8,88000.0
Mitaka,10,10.0,4.0,2.0,1LDK,43.7,165000.0
Mitaka,10,3.0,5.0,2.0,1LDK,35.83,174000.0
Mitaka,10,3.0,5.0,2.0,1LDK,35.83,174000.0
Mitaka,16,18.0,2.0,2.0,1K,27.46,87000.0
Mitaka,9,32.0,5.0,3.0,1K,18.0,67000.0
Mitaka,16,13.0,2.0,2.0,1LDK,53.08,151000.0
Mitaka,3,48.0,3.0,2.0,2K,32.3,60000.0
Mitaka,3,48.0,3.0,3.0,2K,30.0,81000.0
Mitaka,2,23.0,3.0,2.0,1DK,34.23,79000.0
Mitaka,18,12.0,3.0,3.0,2LDK,55.32,130000.0
Mitaka,7,15.0,2.0,1.0,1LDK,35.52,125000.0
Mitaka,7,15.0,2.0,1.0,1LDK,35.52,125000.0
Mitaka,10,30.0,4.0,2.0,2LDK,55.62,140000.0
Mitaka,9,27.0,3.0,1.0,2LDK,63.29,155000.0
Mitaka,9,27.0,3.0,1.0,2LDK,63.29,155000.0
Mitaka,19,29.0,3.0,3.0,2LDK,52.99,120000.0
Mitaka,10,10.0,2.0,1.0,1LDK,45.54,137000.0
Mitaka,10,10.0,2.0,1.0,1LDK,48.51,138000.0
Mitaka,8,10.0,3.0,3.0,1K,21.87,96000.0
Mitaka,10,13.0,2.0,2.0,2LDK,61.55,182000.0
Mitaka,10,13.0,2.0,2.0,2LDK,61.55,182000.0
Mitaka,8,10.0,3.0,3.0,1K,21.87,96000.0
Mitaka,8,32.0,7.0,3.0,2DK,47.34,122000.0
Mitaka,8,32.0,7.0,6.0,2DK,46.79,130000.0
Mitaka,10,38.0,4.0,3.0,2K,42.35,84500.0
Mitaka,15,13.0,3.0,2.0,1LDK,39.53,125000.0
Mitaka,11,9.0,2.0,1.0,2LDK,48.0,185000.0
Mitaka,8,16.0,7.0,2.0,1K,29.57,106000.0
Mitaka,8,16.0,7.0,4.0,1K,29.57,108000.0
Mitaka,8,16.0,7.0,2.0,1K,29.57,106000.0
Mitaka,8,16.0,7.0,4.0,1K,29.57,108000.0
Mitaka,6,19.0,9.0,7.0,1K,29.7,106500.0
Mitaka,8,15.0,12.0,9.0,1LDK,40.01,170000.0
Mitaka,8,20.0,8.0,8.0,1K,23.48,111000.0
Mitaka,13,11.0,10.0,5.0,1K,22.5,89000.0
Mitaka,13,11.0,10.0,5.0,1K,22.52,95000.0
Mitaka,13,11.0,10.0,5.0,1K,22.52,95000.0
Mitaka,4,12.0,10.0,7.0,1K,27.62,105000.0
Mitaka,4,12.0,10.0,3.0,1LDK,43.98,155000.0
Mitaka,2,19.0,3.0,1.0,1K,25.75,90000.0
Mitaka,5,3.0,3.0,2.0,1K,24.92,106000.0
