scraped_at,scraped_date,area_name,building_type,title,address,walk,age,total_floors,floor,layout_type,area,rent_man_yen,management_fee_yen,source_url
2026-04-02 20:42:52,2026-04-02,台東区,mansion,ルジェンテ・バリュ上野根岸,東京都台東区根岸３,5,4.0,15.0,5.0,1K,25.2,12.0,10000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,ルジェンテ・バリュ上野根岸,東京都台東区根岸３,5,4.0,15.0,5.0,1LDK,31.43,12.9,12000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,Ｌｉｖｅ　Ｆｌａｔ蔵前,東京都台東区鳥越２,5,4.0,5.0,3.0,ワンルーム,25.2,12.5,6000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,Ｌｉｖｅ　Ｆｌａｔ蔵前,東京都台東区鳥越２,5,4.0,5.0,5.0,1LDK,33.94,15.4,6000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,ＴＳレジデンス北上野,東京都台東区竜泉２,4,4.0,14.0,9.0,1K,25.8,10.9,10000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,ＴＳレジデンス北上野,東京都台東区竜泉２,4,4.0,14.0,10.0,1K,25.58,11.0,10000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,ワンリーフ,東京都台東区竜泉２,4,11.0,4.0,3.0,1LDK,40.0,14.0,4600.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,リテラス浅草橋イースト,東京都台東区柳橋２,4,3.0,14.0,5.0,1LDK,30.2,15.7,15000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,リテラス浅草橋イースト,東京都台東区柳橋２,4,3.0,14.0,3.0,2LDK,41.0,21.0,18000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,台東区,mansion,ディームス根岸,東京都台東区根岸３,3,3.0,7.0,1.0,1DK,25.58,12.0,15000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13106&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
