scraped_at,scraped_date,area_name,building_type,title,address,walk,age,total_floors,floor,layout_type,area,rent_man_yen,management_fee_yen,source_url
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武拝島線 小平駅 3階建 築9年,東京都小平市大沼町１,8,9.0,3.0,3.0,1K,26.08,7.4,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武拝島線 小平駅 3階建 築9年,東京都小平市大沼町１,8,9.0,3.0,3.0,1K,26.08,7.6,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,小平市,mansion,リブリ・大沼,東京都小平市大沼町１,8,9.0,3.0,3.0,1K,26.08,7.6,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武国分寺線 鷹の台駅 3階建 築17年,東京都小平市小川町１,5,17.0,3.0,1.0,1K,30.82,7.2,4600.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,小平市,mansion,ボヤージュ・アン・バトー,東京都小平市小川町１,5,17.0,3.0,1.0,1K,30.82,7.2,4600.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武新宿線 花小金井駅 3階建 築22年,東京都小平市鈴木町１,5,22.0,3.0,1.0,2LDK,61.03,9.8,4400.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1
2026-04-02 20:42:52,2026-04-02,小平市,mansion,エッグビル,東京都小平市小川町２,1,44.0,3.0,3.0,2LDK,60.43,11.8,,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=2
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武国分寺線 鷹の台駅 4階建 築39年,東京都小平市小川町１,17,39.0,4.0,4.0,ワンルーム,22.0,3.7,1000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=2
2026-04-02 20:42:52,2026-04-02,小平市,mansion,ベルピア,東京都小平市小川町１,14,40.0,3.0,2.0,1K,26.0,5.0,1000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=2
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武拝島線 東大和市駅 4階建 築34年,東京都小平市小川町１,15,34.0,4.0,4.0,2LDK,43.0,6.0,2000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=2
2026-04-02 20:42:52,2026-04-02,小平市,mansion,ハビテ花小金井II,東京都小平市花小金井５,4,8.0,3.0,1.0,1K,24.84,7.0,5000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=2
2026-04-02 20:42:52,2026-04-02,小平市,mansion,ハビテ花小金井I,東京都小平市花小金井５,9,8.0,3.0,1.0,1K,24.84,7.0,5000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武国分寺線 小川駅 8階建 築35年,東京都小平市小川東町１,5,35.0,8.0,4.0,2LDK,57.89,9.0,6600.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,リブリ・Ｐｅｔｉｔ Ｐｌａｔ,東京都小平市小川東町５,9,8.0,3.0,1.0,1K,28.56,7.3,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,リブリ・Ｐｅｔｉｔ Ｐｌａｔ,東京都小平市小川東町５,9,8.0,3.0,1.0,1K,28.56,7.5,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,ＪＲ武蔵野線 新小平駅 3階建 築8年,東京都小平市小川東町５,9,8.0,3.0,2.0,1K,28.56,7.5,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武多摩湖線 青梅街道駅 4階建 築18年,東京都小平市仲町,8,18.0,4.0,1.0,1K,29.39,6.3,4100.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,メゾン学園西,東京都小平市学園西町３,10,41.0,3.0,2.0,2DK,36.4,6.2,2000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武多摩湖線 一橋学園駅 3階建 築41年,東京都小平市学園西町３,10,41.0,3.0,2.0,2DK,36.4,6.2,2000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武多摩湖線 青梅街道駅 5階建 築41年,東京都小平市小川東町４,6,41.0,5.0,1.0,2LDK,54.54,8.2,3000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,リブリ・クリークウエスト,東京都小平市小川西町４,3,10.0,3.0,3.0,1LDK,39.33,9.3,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,リブリ・クリークウエスト,東京都小平市小川西町４,3,10.0,3.0,2.0,1LDK,39.33,9.5,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武拝島線 小川駅 3階建 築10年,東京都小平市小川西町４,3,10.0,3.0,2.0,1LDK,39.33,9.5,4000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武拝島線 小川駅 8階建 築20年,東京都小平市小川西町４,4,20.0,8.0,2.0,1DK,30.18,7.3,5000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=3
2026-04-02 20:42:52,2026-04-02,小平市,mansion,カーサ・イトウ,東京都小平市学園東町１,3,39.0,4.0,2.0,2DK,38.88,6.5,2000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=4
2026-04-02 20:42:52,2026-04-02,小平市,mansion,西武新宿線 花小金井駅 3階建 築40年,東京都小平市花小金井１,6,40.0,3.0,1.0,2DK,38.7,7.2,3000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=4
2026-04-02 20:42:52,2026-04-02,小平市,mansion,ＰＡＤＤＹ　ＦＩＶＥ(パディー　ファイブ),東京都小平市小川町１,6,20.0,4.0,1.0,1K,24.96,5.7,5000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=4
2026-04-02 20:42:52,2026-04-02,小平市,mansion,ＰＡＤＤＹ　ＦＩＶＥ(パディー　ファイブ),東京都小平市小川町１,6,20.0,4.0,2.0,1K,24.96,6.1,5000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=4
2026-04-02 20:42:52,2026-04-02,小平市,mansion,アビリアなごみ,東京都小平市上水本町２,9,25.0,4.0,3.0,1DK,34.02,8.3,7000.0,https://suumo.jp/jj/chintai/ichiran/FR301FC001/?ar=030&bs=040&ta=13&sc=13211&cb=0.0&ct=9999999&et=9999999&cn=9999999&mb=0&mt=9999999&shkr1=03&shkr2=03&shkr3=03&shkr4=03&fw2=&srch_navi=1&page=4
