ward,walk,age,floor,rent,type,area,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,12,2,750000,3LDK,105.45,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,28,10,267000,1LDK,57.18,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,28,4,384000,3LDK,70.48,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,28,10,387000,3LDK,66.24,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,4,7,152000,1K,25.8,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,4,2,158000,1R,29.47,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,4,15,250000,1LDK,38.14,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,9,9,350000,2LDK,53.8,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,8,10,360000,2LDK,57.93,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,3,244000,1LDK,39.11,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,2,3,240000,1LDK,41.32,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,2,7,248000,1LDK,41.32,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,4,180000,1K,28.81,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,6,285000,1LDK,46.24,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,7,8,2,145000,1R,25.23,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,0,3,280000,2LDK,58.92,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,0,7,284000,2LDK,58.92,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,0,3,303000,3LDK,64.7,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,19,7,144000,1K,31.28,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,23,2,143000,1K,25.38,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,8,7,2,144000,1DK,25.06,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,8,7,6,152000,1K,25.1,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,8,7,12,234000,1LDK,40.18,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,2,7,12,208000,1LDK,40.6,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,7,6,179000,1DK,28.34,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,7,12,209000,1LDK,37.91,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,7,9,290000,2LDK,50.03,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,4,114000,1K,21.5,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,5,170000,1DK,30.06,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,2,4,144000,1DK,25.13,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,2,7,147000,1DK,25.13,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,11,2,145000,1K,24.3,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,11,4,155000,1K,24.3,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,12,6,159000,1R,25.02,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,11,3,124000,1K,25.06,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,18,4,131000,1K,29.56,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,10,1,129000,1K,25.75,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,12,5,148000,1K,26.32,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,7,12,3,117000,1K,25.13,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,17,12,188000,1LDK,38.73,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,1,2,5,225000,1LDK,38.4,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,8,10,120000,1K,25.34,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,0,6,190000,1DK,33.49,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,22,8,107000,1K,22.6,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,7,5,135000,1K,21.3,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,7,10,10,230000,1LDK,40.17,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,6,8,138000,1K,26.69,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,12,2,750000,3LDK,105.45,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,28,10,267000,1LDK,57.18,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,28,4,384000,3LDK,70.48,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,4,7,152000,1K,25.8,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,4,2,158000,1R,29.47,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,9,9,350000,2LDK,53.8,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,9,9,420000,2LDK,57.48,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,8,10,360000,2LDK,57.93,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,8,8,380000,3LDK,67.09,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,3,244000,1SLDK,39.11,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,2,248000,1LDK,39.11,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,2,3,240000,1LDK,41.32,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,2,14,240000,1LDK,41.32,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,4,175000,1K,28.81,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,4,4,180000,1K,28.81,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,8,2,145000,1R,25.23,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,8,10,154000,1R,26.37,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,10,0,3,280000,2LDK,58.92,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,10,0,7,284000,2LDK,58.92,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,3,3,190000,1LDK,36.72,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,3,3,202000,1LDK,36.72,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,19,7,144000,1K,31.28,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,19,7,146000,1K,31.28,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,23,2,143000,1K,25.38,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,23,3,152000,1R,30.13,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,7,12,208000,1LDK,40.6,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,7,6,179000,1DK,28.34,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,4,4,114000,1K,21.5,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,5,4,3,160000,1DK,30.06,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,8,2,4,144000,1DK,25.13,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,8,2,4,145000,1DK,25.08,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,11,2,145000,1K,24.3,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,11,4,150000,1K,24.3,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,22,3,220000,1LDK,40.36,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,22,2,218000,1LDK,40.36,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,12,6,159000,1R,25.02,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,12,5,163000,1R,25.04,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,11,3,124000,1K,25.06,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,11,2,157000,1K,25,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,18,4,131000,1K,29.56,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,18,4,134000,1K,29.56,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,11,4,137000,1K,25.15,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,10,1,129000,1K,25.75,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,12,5,148000,1K,26.32,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,3,12,10,172000,1R,31.56,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,7,12,3,117000,1K,25.13,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,17,12,188000,1LDK,38.73,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,6,17,14,210000,1LDK,38.73,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,20,2,95000,1K,22.47,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,4,20,2,95000,1K,22.25,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,9,7,5,325000,2LDK,56.45,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,9,7,3,330000,2LDK,56.45,,,,,,,,,,,,,,,,,,,,,,
Chiyoda,1,2,5,225000,1LDK,38.4,,,,,,,,,,,,,,,,,,,,,,
